0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:42:34 +0800] "POST /bos-web/regionAction_pageQuery.action HTTP/1.1" 200 8106
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:42:43 +0800] "POST /bos-web/regionAction_pageQuery.action HTTP/1.1" 200 4905
0:0:0:0:0:0:0:1 - - [03/Dec/2018:09:11:26 +0800] "POST /bos-web/userAction_login.action HTTP/1.1" 200 9540
0:0:0:0:0:0:0:1 - - [03/Dec/2018:09:11:26 +0800] "GET /bos-web/js/jquery-1.8.3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:09:11:26 +0800] "GET /bos-web/js/easyui/themes/default/easyui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:09:11:26 +0800] "GET /bos-web/js/easyui/themes/icon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:09:11:26 +0800] "GET /bos-web/css/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:09:11:26 +0800] "GET /bos-web/js/easyui/jquery.easyui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:09:11:26 +0800] "GET /bos-web/js/ztree/zTreeStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:09:11:26 +0800] "GET /bos-web/js/easyui/locale/easyui-lang-zh_CN.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:09:11:26 +0800] "GET /bos-web/js/ztree/jquery.ztree.all-3.5.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:09:11:26 +0800] "GET /bos-web/images/header_bg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:09:11:26 +0800] "GET /bos-web/images/online.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:09:11:26 +0800] "GET /bos-web/page_common_home.action HTTP/1.1" 200 2996
0:0:0:0:0:0:0:1 - - [03/Dec/2018:09:11:26 +0800] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [03/Dec/2018:09:11:26 +0800] "GET /bos-web/js/easyui/themes/icons/ok.png HTTP/1.1" 304 -
